ФИО: Иванов Алексей Викторович, группа: 753504, событие: начало отчислений
ФИО: Петров Дмитрий Иванович, группа: 641301, событие: начало отчислений
ФИО: Петров Дмитрий Иванович, группа: 641301, событие: начало отчислений
ФИО: Быковская Ирина Вадимовна, группа: 751004, событие: выдача ведомостичек
ФИО: Быковская Ирина Вадимовна, группа: 751004, событие: выдача справок
ФИО: Петров Дмитрий Иванович, группа: 641301, событие: выдача справок
ФИО: Иванов Алексей Викторович, группа: 753504, событие: начало отчислений
ФИО: Петров Дмитрий Иванович, группа: 641301, событие: начало отчислений
ФИО: Петров Дмитрий Иванович, группа: 641301, событие: начало отчислений
ФИО: Быковская Ирина Вадимовна, группа: 751004, событие: выдача ведомостичек
ФИО: Быковская Ирина Вадимовна, группа: 751004, событие: выдача справок
ФИО: Петров Дмитрий Иванович, группа: 641301, событие: выдача справок
ФИО: Быковская Ирина Вадимовна, группа: 751004, событие: начало отчислений
ФИО: Иванов Алексей Викторович, группа: 753504, событие: начало отчислений
ФИО: Петров Дмитрий Иванович, группа: 641301, событие: начало отчислений
ФИО: Быковская Ирина Вадимовна, группа: 751004, событие: начало отчислений
ФИО: Петров Дмитрий Иванович, группа: 641301, событие: начало отчислений
